Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
365646,Drawings and Prints,Drawing,Saint Paul,Unknown,Unknown,1591,1666,"Pen and brown ink, brush and brown ink, over lead point or graphite.","Gift of Cornelius Vanderbilt, 1880",Unknown
367617,Drawings and Prints,Drawing Ornament & Architecture,Francis W. Little House: Furniture Plan,Unknown,Unknown,1908,1914,Graphite and orange and brown pencil,"Purchase, Emily Crane Chadborne Bequest, 1972",Unknown
371229,Drawings and Prints,Print,"Theodoric IV from the series Counts and Countesses of Holland, Zeeland, and West-Frisia",Unknown,Unknown,1650,1650,Engraving and etching; second state of three,"Gift of Mrs. Hugo Elliot, 1941",Unknown
377953,Drawings and Prints,Book,L'Art de bâtir des maisons de Campagne,Unknown,Unknown,1743,1743,Printed book with engraved illustrations,"Rogers Fund, 1952",Unknown
378518,Drawings and Prints,Drawing,"Design for Vis-à-vis, no. 3223",Unknown,Unknown,1876,0,"Pen and black ink, watercolor and gouache with gum arabic","Gift of William Brewster, 1923",Unknown
378914,Drawings and Prints,Drawing,"Design for Pony Phaeton, no. 3162",Unknown,Unknown,1875,1875,"Pen and black ink, watercolor and gouache","Gift of William Brewster, 1923",Unknown
386510,Drawings and Prints,Drawing ; Ornament and architecture,"Ceiling Design, Half of a Circle",Unknown,Unknown,1800,1899,Watercolor with gold,"Gift of the Royal Institute of British Architects, 1961",Unknown
391909,Drawings and Prints,Print,Canal with an Angler and Two Swans,Unknown,Unknown,1643,1653,Etching and drypoint; second of two states,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",Unknown
396269,Drawings and Prints,Print,GERYON,Unknown,Unknown,1957,1957,"Etching, aquatint and drypoint; states 1-8","John B. Turner Fund, 2011",Unknown
397577,Drawings and Prints,Print,"Syzygy or the Conjunction of the Macrocosmic Unity with the Microcosmic Triunity from Heinrich Khunrath, Amphiteatrum sapientiae aeternae",Unknown,Unknown,1535,1611,Engraving from a circular plate,"Purchase, C. G. Boerner Gift, 2011",Unknown
399078,Drawings and Prints,Print,Horse Group #17,Unknown,Unknown,1935,1943,Lithograph,"Gift of the Work Projects Administration, Allocation Unit, Chicago, 1943",Unknown
399085,Drawings and Prints,Print,Whither Mankind,Unknown,Unknown,1935,1943,Silkscreen,"Gift of the Work Projects Administration, Allocation Unit, Chicago, 1943",Unknown
399877,Drawings and Prints,Print,"The dream of St Joseph, who is sleeping at the right, the Virgin and Child by a cross surrounded by angels and many putti and with God the Father above",Unknown,Unknown,1600,1650,Etching,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",Unknown
400013,Drawings and Prints,Baseball card,"Sullivan, Left Field, Chicago, from the Gold Coin series (N284) for Gold Coin Chewing Tobacco",Unknown,Unknown,1887,1887,Commercial color lithography reproducing drawings,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
400018,Drawings and Prints,Print,Section and elevation of the Colosseum in Rome,Unknown,Unknown,1581,1581,Etching,"Bequest of Phyllis Massar, 2011",Unknown
404850,Drawings and Prints,Print,"Chairing the Members, Plate IV: Four Prints of an Election",Unknown,Unknown,1758,1758,Etching and engraving; third state of three,"Gift of Sarah Lazarus, 1891",Unknown
410156,Drawings and Prints,Print,"George Bubear, Oarsman, from World's Champions, Series 1 (N28) for Allen & Ginter Cigarettes",Unknown,Unknown,1887,1887,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
410683,Drawings and Prints,Baseball card,"Louis Chiozza; verso: Diamond Stars, No. 80 (1934 Averages)",Unknown,Unknown,1935,1935,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
415848,Drawings and Prints,Print,"Prise de la Ville de Bone (Capture of the City of Bonne), from La Vie de Ferdinand Ier de Médicis série appelée aussi Les Batailles des Médicis (The Life of Ferdinand I de'Medici also called The Medici Battles)",Unknown,Unknown,1614,1620,Engraving; first state of two (Lieure),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1951",Unknown
417951,Drawings and Prints,Print,The Impossibility,Unknown,Unknown,1548,1548,Engraving,"Gift of Harry G. Friedman, 1959",Unknown
419823,Drawings and Prints,Print,"S. Antioche, médecin (St. Antiochus, Doctor), July 15th, from Les Images De Tous Les Saincts et Saintes de L'Année (Images of All of the Saints and Religious Events of the Year)",Unknown,Unknown,1636,1636,Etching; second state of two (Lieure),"Purchase, Joseph Pulitzer Bequest, 1917",Unknown
428594,Drawings and Prints,Print,Sea-Bass Fisherman,Unknown,Unknown,1900,1931,Etching,"Robert B. Dodson Fund, 1931",Unknown
428786,Drawings and Prints,Print,Reverse Copy of Madame Bouthillier (Marie de Bragelogne),Unknown,Unknown,1810,1820,Engraving,"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent, 1924",Unknown
430474,Drawings and Prints,Print,"Reconnoitering, from the Boy Scouts series (E42) for the Fisher Candy Co.",Unknown,Unknown,1910,1910,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
431102,Drawings and Prints,Print,Vues de St. Petersbourg,Unknown,Unknown,1840,1840,"Lithography, hand-colored","Gift of Robert D. Brewster, 1951",Unknown
433636,Drawings and Prints,"Baseball card, print","Fitzgerald, Sacramento, Pacific Coast League, from the ""Obak Baseball Players"" set (T212), issued by the American Tobacco Company to promote Obak Mouthpiece Cigarettes",Unknown,Unknown,1910,1910,Commercial color lithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
434286,Drawings and Prints,"Baseball card, print","Spencer, Catcher, Boston, American League, from the Baseball Players (Ramlys) series (T204) issued by the Mentor Company to promote Ramly and T.T.T. Turkish Cigarettes",Unknown,Unknown,1909,1909,Photolithograph,"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",Unknown
446304,Islamic Art,Fragment,Fragment of a Bowl,Middle Eastern,Egypt,1300,1499,Earthenware; incised decoration through a white slip and coloring under a transparent glaze.,"Rogers Fund, 1913",Egypt
447944,Islamic Art,Fragment,Fragment,India,India,1700,1799,Cotton; painted,"Rogers Fund, 1926",India
